Name,Email,Phone,Company,Role,Location,LinkedIn,Website,Notes,Tags,Relationship Type,Next Follow-Up,Last Contact,Created At,Birthday
Lea Konig,lea.konig@comundusgmbh.de,+49 152 9616075,Comundus GmbH,Research Associate,"Karlsruhe, Germany",https://linkedin.com/in/lea-konig,https://leakonig.dev,,TYPO3;Board Member;Frontend;Vendor,Client,,2026-01-18,2025-05-17T15:44:14.311Z,
Isabelle Becker,isabelle.becker@pagemachinea.de,+49 178 8299525,Pagemachine AG,VP Engineering,"Frankfurt, Germany",https://linkedin.com/in/isabelle-becker,https://isabellebecker.dev,,TYPO3;Friend,Client,2026-01-28,2026-01-21,2025-09-04T15:44:14.311Z,
Jens Baumann,jens.baumann@webprofilgmb.de,,WEBprofil GmbH,Head of IT,"Oslo, Norway",https://linkedin.com/in/jens-baumann,https://jensbaumann.dev,,TYPO3;Partner;Friend;Backend;Conference,Personal,2026-02-08,2025-12-04,2025-02-12T16:44:14.311Z,--04-21
Katrin Vogel,katrin.vogel@nordicdigita.de,+49 158 6681047,Nordic Digital AS,Open Source Evangelist,"Oslo, Norway",https://linkedin.com/in/katrin-vogel,https://katrinvogel.dev,,Partner;Barcamp,Professional,2026-02-25,2025-11-22,2025-06-09T15:44:14.311Z,
Mads Lindqvist,mads.lindqvist@comundusgmbh.de,+49 169 4190063,Comundus GmbH,Release Manager,"Karlsruhe, Germany",,,,TYPO3;Barcamp,Community,2026-01-28,2026-02-07,2025-09-26T15:44:14.311Z,
Lars Bergmann,lars.bergmann@hassoplattne.de,+49 153 3366404,Hasso Plattner Institut,Research Associate,"Paris, France",,,,Community,Client,,2025-12-28,2025-03-02T16:44:14.311Z,--09-07
Soren Karlsson,soren.karlsson@deutschebahn.de,+49 170 7475994,Deutsche Bahn AG,CTO,"Frankfurt, Germany",,,,Prospect;Open Source,Client,2026-02-15,2025-11-17,2025-09-04T15:44:14.311Z,
Nico Hartmann,nico.hartmann@aoegmbh.de,+49 153 7643988,AOE GmbH,Product Owner,"Wiesbaden, Germany",https://linkedin.com/in/nico-hartmann,https://nicohartmann.dev,,TYPO3;Partner,Community,,2025-12-18,2025-02-09T16:44:14.311Z,--06-08
Klaus Schmidt,klaus.schmidt@stadtfrankfu.de,,Stadt Frankfurt,Release Manager,"Frankfurt, Germany",https://linkedin.com/in/klaus-schmidt,https://klausschmidt.dev,,Client,Client,2026-02-16,2026-01-20,2025-01-18T16:44:14.311Z,
Zoran Seidel,zoran.seidel@sitegeistmed.de,,Sitegeist media solutions,TYPO3 Developer,"Hamburg, Germany",https://linkedin.com/in/zoran-seidel,,,TYPO3;dkd,Community,2026-02-09,2025-11-15,2025-05-08T15:44:14.311Z,
